Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Глубокое обучение. Легкая разработка проектов на Python;Вейдман Сет;Питер:Бестселлеры O`Reilly;2 660;3 410;–22 %
Паттерны проектирования для C# и платформы .NET Core;Арораа;Питер:Для профессионалов;3 189;4 089;–22 %
Структуры и алгоритмы обработки данных. Учебник для СПО;Павлов;Лань:Компьютеры и программное обеспечение;783;1 739;–55 %
Численные методы и программирование. Учебное пособие для СПО;Слабнов Виктор Дмитриевич;Лань:Компьютеры и программное обеспечение;2 197;4 882;–55 %
Технология разработки программного обеспечения. Учебное пособие для СПО;Зубкова Татьяна Михайловна;Лань:Компьютеры и программное обеспечение;1 320;2 933;–55 %
Изучаем C++ через программирование игр;Доусон Майкл;Питер:;1 300;1 667;–22 %
Совершенный софт. Совершенный софт - совершенная карьера;Леве Джувел;Питер:Для профессионалов;2 030;2 602;–22 %
Spark в действии. С примерами Java, Python и Scala;Перрен Жан-Жорж;ДМК-Пресс:;1 974;4 386;–55 %
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников;Фоукс;ДМК-Пресс:;1 294;2 875;–55 %
Секреты Python Pro;Хиллард Дейн;Питер:Для профессионалов;2 187;2 804;–22 %
Программирование на Python в примерах и задачах;Васильев Алексей Николаевич;Бомбора:Российский компьютерный бестселлер;1 124;1 540;–27 %
Моделирование и оптимизация процессов управления в технологических системах. Учебник;Колтунов;Кнорус:Магистратура;707;1 572;–55 %
Квантовые вычисления. Прикладной подход;Хидари Джек Д.;ДМК-Пресс:;1 161;2 580;–55 %
JavaScript. Полное руководство;Флэнаган Дэвид;Вильямс:;3 858;8 574;–55 %
Проектирование информационных систем. Методы и средства структурно-функционального проектирования;Гвоздева;Лань:Компьютеры и программное обеспечение;712;1 582;–55 %
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО;Симонова Елена Витальевна;Лань:Компьютеры и программное обеспечение;839;1 864;–55 %
Проектирование информационных систем. Стандартизация, техническое документирование информ. систем;Гвоздева;Лань:Компьютеры и программное обеспечение;935;2 077;–55 %
Системы отображения информации. Дискретные индикаторы. Учебник для вузов;Смирнов Виктор Михайлович;Лань:Компьютеры и программное обеспечение;1 453;3 228;–55 %
Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО;Журавлев Антон Евгеньевич;Лань:Компьютеры и программное обеспечение;1 222;2 716;–55 %
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов;Кудинов;Лань:Компьютеры и программное обеспечение;1 320;2 933;–55 %
Мультимедийные технологии. Учебник для СПО;Катунин Геннадий Павлович;Лань:Компьютеры и программное обеспечение;1 991;4 425;–55 %
JavaScript для профессиональных веб-разработчиков;Фрисби Мэтт;Питер:Для профессионалов;3 309;4 242;–22 %
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений;Антонопулос;Бомбора:Мировой компьютерный бестселлер;2 078;2 846;–27 %
SQL за 10 минут;Форта Бен;Вильямс:;1 286;2 858;–55 %
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений;Лащевски;Питер:Библиотека программиста;1 487;1 907;–22 %
Делай как в Google. Разработка программного обеспечения;Винтерс;Питер:Бестселлеры O`Reilly;2 702;3 464;–22 %
Программируем на C# 8.0. Разработка приложений;Гриффитс Иэн;Питер:Бестселлеры O`Reilly;3 757;4 817;–22 %
C# 9.0. Справочник. Полное описание языка;Албахари Джозеф;Диалектика:;4 544;10 097;–55 %
Изучаем квантовые вычисления на Python и Q#;Кайзер;ДМК-Пресс:;1 625;3 611;–55 %
Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие;Ощепков Александр Юрьевич;Лань:Учебники для вузов. Специальная литература;1 334;2 964;–55 %
Коды с суммированием для систем технического диагностирования. В 2-х томах;Сапожников;Наука:;913;2 029;–55 %
Основы тестирования программного обеспечения. Учебное пособие для СПО;Старолетов Сергей Михайлович;Лань:Компьютеры и программное обеспечение;1 098;2 440;–55 %
Гид по Computer Science, расширенное издание;Спрингер Вильям;Питер:Библиотека программиста;1 087;1 393;–22 %
Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных;Седжвик;Питер:;2 555;3 275;–22 %
Как работают компьютерные сети и интернет;Северанс Чарльз Р.;ДМК-Пресс:;753;1 674;–55 %
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow;Ханнес;ДМК-Пресс:;1 219;2 709;–55 %
SQL для хранения, обработки и анализа данных;Туманов;Солон-пресс:Библиотека студента;463;1 028;–55 %
Безопасность веб-приложений. Разведка, защита, нападение;Хоффман Эндрю;Питер:Бестселлеры O`Reilly;2 311;2 963;–22 %
Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;Питер:Бестселлеры O`Reilly;2 503;3 209;–22 %
Безопасно by Design;Берг;Питер:Библиотека программиста;2 029;2 601;–22 %
Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М:Среднее профессиональное образование;1 458;3 240;–55 %
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;ИНФРА-М:Высшее образование. Бакалавриат;1 335;2 967;–55 %
Искусство тестирования на проникновение в сеть;Дэвис Ройс;ДМК-Пресс:;1 294;2 875;–55 %
Построение пользовательских интерфейсов;Малышев Кирилл Викторович;ДМК-Пресс:;1 164;2 587;–55 %
Data Science для карьериста;Нолис;Питер:Библиотека программиста;2 342;3 003;–22 %
Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер:Для профессионалов;2 847;3 650;–22 %
Программная инженерия. Учебное пособие;Маран Михкель Михкелевич;Лань:Учебники для вузов. Специальная литература;1 287;2 860;–55 %
Алгоритмы обработки текста. 125 задач с решениями;Крошемор;ДМК-Пресс:;1 294;2 875;–55 %
Аналитика в Power BI с помощью R и Python;Уэйд Райан;ДМК-Пресс:;1 509;3 354;–55 %
Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;ДМК-Пресс:;2 200;4 888;–55 %
Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;ДМК-Пресс:;2 200;4 888;–55 %
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев;Лань:Компьютеры и программное обеспечение;2 249;4 998;–55 %
Python, например;Лейси Никола;Питер:Библиотека программиста;1 143;1 466;–22 %
Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;Диалектика:;2 573;5 717;–55 %
Знакомство с программированием на языке Processing;Риас;ДМК-Пресс:;870;1 934;–55 %
Принятие решений и феномен неопределенности. Учебное пособие;Клименко Игорь Семенович;Лань:Компьютеры и программное обеспечение;988;2 196;–55 %
C#. Основы программирования (+CD). Учебное пособие для СПО;Тюкачев;Лань:Компьютеры и программное обеспечение;1 418;3 152;–55 %
JavaScript для глубокого обучения. TensorFlow.js;Шолле;Питер:Библиотека программиста;3 249;4 166;–22 %
Введение в язык Си++;Столяров Андрей Викторович;ДМК-Пресс:;696;1 547;–55 %
Оформление программного кода;Столяров Андрей Викторович;ДМК-Пресс:;646;1 436;–55 %
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;ДМК-Пресс:;2 135;4 744;–55 %
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;Питер:Бестселлеры O`Reilly;2 075;2 660;–22 %
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Деловой двор:;316;405;–22 %
Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;ДМК-Пресс:;2 200;4 888;–55 %
Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова;Колос:Учебники и учебные пособия для студентов вузов;1 524;3 386;–55 %
ВОСХОД программиста;Земцов А. Н.;Деловой двор:Хочу в СССР;920;1 180;–22 %
JavaScript с нуля;Чиннатамби Кирупа;Питер:Библиотека программиста;1 416;1 816;–22 %
Наглядный CSS;Сидельников Грег;Питер:Библиотека программиста;1 288;1 651;–22 %
Scala. Профессиональное программирование;Одерски;Питер:Библиотека программиста;4 887;6 266;–22 %
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Лань:Компьютеры и программное обеспечение;1 493;3 317;–55 %
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;Лань:Компьютеры и программное обеспечение;1 423;3 162;–55 %
Программирование. Сборник задач. Учебное пособие для СПО;Маран;Лань:Компьютеры и программное обеспечение;879;1 953;–55 %
Математическое программирование.СПО;Ганичева Антонина Валериановна;Лань:Математика;809;1 798;–55 %
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;ДМК-Пресс:;1 393;3 095;–55 %
Обработка и представление данных в MS Excel. Учебное пособие;Бурнаева;Лань:Компьютеры и программное обеспечение;587;1 304;–55 %
Вычисления в кольцах некоммутативных многочленов;Цирулик Владимир Григорьевич;Лань:Компьютеры и программное обеспечение;1 887;4 194;–55 %
Парадигма программирования. Учебное пособие;Городняя Лидия Васильевна;Лань:Учебники для вузов. Специальная литература;1 140;2 534;–55 %
ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;Вильямс:;4 968;11 040;–55 %
Создаем динамические веб-сайты на PHP;Татро;Питер:Бестселлеры O`Reilly;2 132;2 733;–22 %
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань:Компьютеры и программное обеспечение;923;2 051;–55 %
HTTP/2 в действии;Поллард Барри;ДМК-Пресс:;1 682;3 738;–55 %
Создание облачных и мобильных приложений на языке F#;Мол Дэниел;ДМК-Пресс:Функциональное программирование;466;1 035;–55 %
Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца;Максфилд Клайв;ДМК-Пресс:Программируемые системы;696;1 547;–55 %
Программирование микроконтроллеров ATMEL на языке C (+CD);Прокопенко Вадим Сергеевич;Корона-Принт:;611;1 358;–55 %
Семь моделей конкуренции и параллелизма за семь недель;Батчер Пол;ДМК-Пресс:;1 044;2 321;–55 %
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla;Волков Владимир Юрьевич;Лань:;712;1 582;–55 %
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.;Клейн Тобиас;ДМК-Пресс:;929;2 064;–55 %
Введение в UML от создателей языка;Рамбо;ДМК-Пресс:Классика программирования;696;1 547;–55 %
Технологии программирования на Java 2. Распределенные приложения;Дейтел;Бином:;470;1 044;–55 %
Silverlight 4. Создание насыщенных Web-приложений;Байдачный Сергей Сергеевич;Солон-пресс:Библиотека профессионала;349;776;–55 %
EJB 3 в действии;Панда;ДМК-Пресс:Программирование в действии;1 161;2 580;–55 %
Обработка неструктурированных текстов. Поиск, организация и манипулирование;Ингерсолл;ДМК-Пресс:Программирование в действии;970;2 155;–55 %
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell;Бёрд Ричард;ДМК-Пресс:;970;2 155;–55 %
Асинхронное программирование в C# 5.0;Дэвис Алекс;ДМК-Пресс:;331;736;–55 %
Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD);Архангельский Алексей Яковлевич;Бином:;941;2 092;–55 %
Практика программирования на языке Паскаль. Задачи и решения;Медведик Владимир Иванович;ДМК-Пресс:;813;1 806;–55 %
Методы обработки и распознавания изображений лиц в задачах биометрии;Кухарев;Политехника:;545;1 212;–55 %
Эффективные технологии создания информационных систем;Мещеряков;Политехника:;305;677;–55 %
Введение в теорию языков программирования;Довек;ДМК-Пресс:;466;1 035;–55 %
Spring в действии;Уоллс Крейг;ДМК-Пресс:Программирование в действии;1 617;3 593;–55 %
Программирование на языке OCaml;Мински;ДМК-Пресс:Функциональное программирование;1 294;2 875;–55 %
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию;Рутш;ДМК-Пресс:;696;1 547;–55 %
Платформа Windows Azure;Редкар;ДМК-Пресс:;929;2 064;–55 %
"За пределами ""Linux с нуля"". Версия 7.4. Том 2";Информация не найдена;ДМК-Пресс:;1 035;2 301;–55 %
.NET Сетевое программирование;Кумар;Лори:;707;1 570;–55 %
Редкая профессия;Зуев Евгений Александрович;ДМК-Пресс:;352;783;–55 %
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink;Черных Илья Викторович;ДМК-Пресс:Проектирование;517;1 148;–55 %
Java. Эффективное программирование;Блох Джошуа;Лори:;747;1 661;–55 %
Разработка веб-приложений с использованием AngularJS;Козловский;ДМК-Пресс:;840;1 866;–55 %
Основы теории вейвлетов. Вейвлеты в MATLAB;Смоленцев Николай Константинович;ДМК-Пресс:Математика и Matlab;787;1 749;–55 %
LabVIEW. Практический курс для инженеров и разработчиков;Магда Юрий Степанович;ДМК-Пресс:Все о LabVIEW;352;783;–55 %
Принципы построения, применения и проектирования компьютерной платформы U-SYS;Росляков;Солон-пресс:Библиотека студента;228;507;–55 %
Разработка приложений Java EE 6 в NetBeans 7;Хеффельфингер Дэвид;ДМК-Пресс:;696;1 547;–55 %
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум;Санников Е. В.;Солон-пресс:Элективный курс. Профильное обучение;540;1 201;–55 %
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++;Грегори;ДМК-Пресс:;906;2 013;–55 %
Оптимизация производительности приложений для iOS. Для профессионалов;Во Ханг;ДМК-Пресс:;619;1 375;–55 %
Структуры данных и алгоритмы в Java. Классика Computers Science;Лафоре Роберт;Питер:Классика computer science;2 595;3 327;–22 %
Программирование на алгоритмическом языке КуМир;Анеликова;Солон-пресс:Элективный курс. Профильное обучение;185;411;–55 %
Создание web-приложений в Silverlight;Буньон Лоран;ДМК-Пресс:;504;1 120;–55 %
С++ для начинающих;Шилдт Герберт;Эком:Шаг за шагом;626;1 392;–55 %
Профессиональное программирование приложений для iPhone и iPad;Баклин Джин;Эксмо:Мировой компьютерный бестселлер;1 043;1 429;–27 %
Silverlight. Практическое руководство;Браун Пит;Питер:;1 332;1 708;–22 %
PHP. Создание динамических страниц;Пауэрс Дэвид;Рид Групп:Веб-технологии;1 163;1 593;–27 %
Изучаем Java;Сьерра;Эксмо:Мировой компьютерный бестселлер;1 590;2 178;–27 %
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD);Радченко Максим Григорьевич;1С:1С: Предприятие 8.2;189;419;–55 %
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD";Ажеронок Валентин Александрович;1С:1С: Предприятие 8.2;183;407;–55 %
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов;Гультяев Алексей Константинович;Корона-Принт:;220;489;–55 %
Руководство разработчика по Microsoft Enterprise Library;Хоумер;Эком:;454;1 008;–55 %
Silverlight 2. Технология создания интернет-приложений;Буньон Лоран;ДМК-Пресс:;405;900;–55 %
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие;Мурсаев;Лань:Учебники для вузов. Специальная литература;675;1 499;–55 %
Экономика на Python. Учебник;Хрипунова;Прометей:;1 036;2 303;–55 %
Black Hat Python. Программирование для хакеров и пентестеров;Зейтц;Питер:Библиотека программиста;1 548;1 985;–22 %
Однострочники Python. Лаконичный и содержательный код;Майер Кристиан;Питер:Библиотека программиста;1 609;2 063;–22 %
Гид Java-разработчика. Проектно-ориентированный подход;Урма;Бомбора:Мировой компьютерный бестселлер;819;1 122;–27 %
PHP 8. Объекты, шаблоны и методики программирования;Зандстра Мэтт;Диалектика:;3 858;8 574;–55 %
Python и DevOps. Ключ к автоматизации Linux;Гифт;Питер:Бестселлеры O`Reilly;2 348;3 010;–22 %
Прикладное программирование на С/С++: с нуля;Иванов Всеволод Борисович;Солон-пресс:Программирование;581;1 290;–55 %
Введение в логическое программирование;Дженесерет;ДМК-Пресс:;1 164;2 587;–55 %
Параллельное программирование на C# и .NET Core;Шакти Танвар;ДМК-Пресс:;1 359;3 019;–55 %
Разработка игр на языке JavaScript. Учебное пособие;Беляев Сергей Алексеевич;Лань:Компьютеры и программное обеспечение;351;780;–55 %
Параллельные и высокопроизводительные вычисления;Роби;ДМК-Пресс:;2 670;5 934;–55 %
Исследование операций в экономике. Практикум. Учебное пособие для вузов;Слабнов Виктор Дмитриевич;Лань:Компьютеры и программное обеспечение;1 886;4 191;–55 %
Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура;Персиваль;Питер:Для профессионалов;1 949;2 499;–22 %
WebAssembly в действии;Галлан Жерар;Питер:Библиотека программиста;2 588;3 318;–22 %
Тестирование программного обеспечения;Игнатьев Александр Владимирович;Лань:Компьютеры и программное обеспечение;322;716;–55 %
Разработка моделей предметной области автоматизации. Учебник для вузов;Котлинский Сергей Владимирович;Лань:Компьютеры и программное обеспечение;2 201;4 892;–55 %
Разработка моделей предметной области автоматизации. Учебник для СПО;Котлинский Сергей Владимирович;Лань:Компьютеры и программное обеспечение;1 991;4 425;–55 %
Тестирование программного обеспечения. Учебное пособие для СПО;Игнатьев Александр Владимирович;Лань:Компьютеры и программное обеспечение;322;716;–55 %
Проектирование человеко-машинного взаимодействия. Учебник для вузов;Игнатьев Александр Владимирович;Лань:Компьютеры и программное обеспечение;363;807;–55 %
Программные коллекции данных. Проектирование и реализация. Учебник;Романенко Татьяна Александровна;Лань:Компьютеры и программное обеспечение;1 153;2 563;–55 %
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО;Романенко Татьяна Александровна;Лань:Компьютеры и программное обеспечение;1 153;2 563;–55 %
Clojure на производстве;Гришаев Иван;ДМК-Пресс:;1 161;2 580;–55 %
Алгоритмы ГИС;Сяо Нинчуань;ДМК-Пресс:;1 552;3 449;–55 %
Изучаем SHINY;Уикем Хэдли;ДМК-Пресс:;1 509;3 354;–55 %
Анализ поведенческих данных на R и PYTHON;Бюиссон Флоран;ДМК-Пресс:;1 682;3 738;–55 %
Оптимизация запросов PostgreSQL;Домбровская;ДМК-Пресс:;1 359;3 019;–55 %
Разработка беспилотных транспортных средств;Лю;ДМК-Пресс:;1 277;2 837;–55 %
Сети 6G. Путь от 5G к 6G глазами разработчиков;Тонг;ДМК-Пресс:;2 322;5 159;–55 %
Проектирование цифровых образовательных ресурсов;Коннова;Прометей:;875;1 944;–55 %
Классические задачи Computer Science на языке Java;Копец Дэвид;Питер:Библиотека программиста;1 416;1 816;–22 %
Head First. Паттерны проектирования;Фримен;Питер:Head First (O'Reilly);1 949;2 499;–22 %
Web-программирование на JavaScript. Учебное пособие для СПО;Диков Андрей Валентинович;Лань:Компьютеры и программное обеспечение;912;2 027;–55 %
Автоматизация рутинных задач с помощью Python;Свейгарт Эл;Диалектика:;2 573;5 717;–55 %
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям;Граймс Роджер А.;ДМК-Пресс:;1 044;2 321;–55 %
{Вы пока еще не знаете JS} Познакомьтесь, JavaScript;Симпсон Кайл;Питер:Библиотека программиста;1 028;1 318;–22 %
{Вы пока еще не знаете JS}. Область видимости и замыкания;Симпсон Кайл;Питер:Библиотека программиста;1 093;1 401;–22 %
Паттерны программирования игр;Нистрем Роберт;Бомбора:Мировой компьютерный бестселлер;1 499;2 053;–27 %
Эффективный C. Профессиональное программирование;Сикорд Роберт С.;Питер:Библиотека программиста;1 703;2 183;–22 %
React. Современные шаблоны для разработки приложений;Бэнкс;Питер:Бестселлеры O`Reilly;1 782;2 284;–22 %
JavaScript. Обработка событий на примерах. Учебное пособие;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;1 257;2 794;–55 %
ASP.NET CORE в действии;Лок Эндрю;ДМК-Пресс:;2 380;5 289;–55 %
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100;Маслюк Даниил;ДМК-Пресс:;1 277;2 837;–55 %
Программирование на PHP в примерах и задачах;Васильев Алексей;Эксмо-Пресс:Российский компьютерный бестселлер;965;1 322;–27 %
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel;Воскобойников Юрий Евгеньевич;Лань:Компьютеры и программное обеспечение;1 153;2 563;–55 %
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.;Романов;Лань:Компьютеры и программное обеспечение;734;1 630;–55 %
JavaScript. Обработка событий на примерах. Учебное пособие для СПО;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;1 138;2 528;–55 %
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО;Алексеев Владимир Анатольевич;Лань:Компьютеры и программное обеспечение;1 043;2 318;–55 %
Ghidra. Полное руководство;Игл;ДМК-Пресс:;2 206;4 903;–55 %
Изучаем WinUI 3.0;Эшкрафт Элвин;ДМК-Пресс:;1 294;2 875;–55 %
JavaScript для профессиональных веб-разработчиков;Фрисби Мэтт;Питер:Для профессионалов;3 309;4 242;–22 %
SQL за 10 минут;Форта Бен;Вильямс:;1 286;2 858;–55 %
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений;Лащевски;Питер:Библиотека программиста;1 487;1 907;–22 %
Делай как в Google. Разработка программного обеспечения;Винтерс;Питер:Бестселлеры O`Reilly;2 702;3 464;–22 %
Программируем на C# 8.0. Разработка приложений;Гриффитс Иэн;Питер:Бестселлеры O`Reilly;3 757;4 817;–22 %
Изучаем квантовые вычисления на Python и Q#;Кайзер;ДМК-Пресс:;1 625;3 611;–55 %
Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие;Ощепков Александр Юрьевич;Лань:Учебники для вузов. Специальная литература;1 334;2 964;–55 %
Коды с суммированием для систем технического диагностирования. В 2-х томах;Сапожников;Наука:;913;2 029;–55 %
Основы тестирования программного обеспечения. Учебное пособие для СПО;Старолетов Сергей Михайлович;Лань:Компьютеры и программное обеспечение;1 098;2 440;–55 %
Гид по Computer Science, расширенное издание;Спрингер Вильям;Питер:Библиотека программиста;1 087;1 393;–22 %
Python. Искусственный интеллект, большие данные и облачные вычисления;Дейтел;Питер:Для профессионалов;3 146;4 033;–22 %
Эволюционные нейросети на языке Python;Омельяненко Ярослав;ДМК-Пресс:;1 161;2 580;–55 %
Алгоритмы обучения с подкреплением на Python;Лонца Андреа;ДМК-Пресс:;1 393;3 095;–55 %
Цифровой синтез. Практический курс;Романов;ДМК-Пресс:;1 625;3 611;–55 %
Системное программирование. Лабораторные работы. Учебное пособие;Жулабова Фатима Тахировна;Лань:Учебники для вузов. Специальная литература;691;1 535;–55 %
Криптография и взлом шифров на Python;Свейгарт Эл;Диалектика:;1 972;4 383;–55 %
Программист-прагматик;Томас;Диалектика:;2 573;5 717;–55 %
Учимся программировать с примерами на Python;Фримен Эрик;Диалектика:Head First;2 573;5 717;–55 %
Параллельное программирование на C++ с помощью библиотеки TBB;Восс;ДМК-Пресс:;1 741;3 869;–55 %
Предметно-ориентированное проектирование в Enterprise Java;Наир Виджей;ДМК-Пресс:;1 161;2 580;–55 %
Генеративное глубокое обучение. Творческий потенциал нейронных сетей;Фостер Дэвид;Питер:Бестселлеры O`Reilly;2 086;2 674;–22 %
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;Феррари;ДМК-Пресс:;1 219;2 709;–55 %
Распределенные системы реального времени. Теория и практика;Эрджиес Кайхан;ДМК-Пресс:;1 393;3 095;–55 %
Программирование на Python. Базовый курс;Седжвик;Вильямс:;1 972;4 383;–55 %
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;Льюис;ДМК-Пресс:;1 161;2 580;–55 %
Паттерны объектно-ориентированного проектирования;Гамма;Питер:Библиотека программиста;943;1 209;–22 %
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1;Фриск;Солон-пресс:Библиотека студента;697;1 549;–55 %
Управление памятью в .NET для профессионалов;Кокоса Конрад;ДМК-Пресс:;2 653;5 895;–55 %
Исследование операций и методы оптимизации. Учебное пособие;Болотский;Лань:Учебники для вузов. Специальная литература;320;710;–55 %
Веб-компоненты в действии;Фаррелл Бен;ДМК-Пресс:;1 277;2 837;–55 %
Машинное обучение на R: экспертные техники для прогностического анализа;Ланц Бретт;Питер:Библиотека программиста;2 669;3 422;–22 %
Head First. Изучаем Go;Макгаврен Джей;Питер:Head First (O'Reilly);2 942;3 772;–22 %
